No.;Gender;Age;Secundary education;Graduation;First education;Specialization of first education;Second education;Specialization of second education;Third education;Specialization of third education;Total work experience;Experience in public administration;Experience in a municipal institution;Experience in the private sector;Experience in an international organization;Experience relevant to the job role;Native language;Ministry;The industry;Position group;Position;Decision;Year of publication;Duties of the position;Job requirements;Institutions
1;S;n/a;n/a;n/a;Bakalaurs;Personālvadība;n/a;n/a;n/a;n/a;2011;Nē;Jā;Jā;Nē;13;LV;TM;Personālvadība;Zemākā līmeņa vadītājs;Nodaļas vadītāja vietnieks;noraidīts;2024;"Tu piedalīsies personāla vadības stratēģijas, politikas, mērķu izstrādē un pilnveidē, kā arī nodrošināsi to ieviešanu iestādē; Tev būs jānodrošina personālvadības lietvedības procesi; Kompetences ietvaros tev būs jāsagatavo iekšējie normatīvie akti; Tu nodrošināsi Tiesu iestāžu darbinieku un administrācijas nodarbināto personāla vadības procesus; Piedalīsies Personālvadības informācijas sistēmu pilnveidē.";"Otrā līmeņa augstākā izglītība (vēlams tiesību zinātnēs vai personāla vadībā) un atbilstība; Valsts civildienesta likuma 7.panta prasībām; Vēlama 2 gadu profesionālā  darba pieredze personālvadības jomā valsts pārvaldē; Valsts valodas zināšanas augstākajā līmenī.";Court Administration
2;V;n/a;n/a;n/a;Bakalaurs;Tiesību zinātnēs;n/a;n/a;n/a;n/a;2001;Jā;Nē;Jā;Nē;0;LV;TM;Personālvadība;Zemākā līmeņa vadītājs;Nodaļas vadītāja vietnieks;noraidīts;2024;"Tu piedalīsies personāla vadības stratēģijas, politikas, mērķu izstrādē un pilnveidē, kā arī nodrošināsi to ieviešanu iestādē; Tev būs jānodrošina personālvadības lietvedības procesi; Kompetences ietvaros tev būs jāsagatavo iekšējie normatīvie akti; Tu nodrošināsi Tiesu iestāžu darbinieku un administrācijas nodarbināto personāla vadības procesus; Piedalīsies Personālvadības informācijas sistēmu pilnveidē.";"Otrā līmeņa augstākā izglītība (vēlams tiesību zinātnēs vai personāla vadībā) un atbilstība; Valsts civildienesta likuma 7.panta prasībām; Vēlama 2 gadu profesionālā  darba pieredze personālvadības jomā valsts pārvaldē; Valsts valodas zināšanas augstākajā līmenī.";Court Administration
3;S;n/a;n/a;n/a;Bakalaurs;Uzņēmējdarbības vadība ;Maģistrs (profesionālais grāds);Projektu vadīšana;Maģistrs (profesionālais grāds);Biznesa psiholoģija un cilvēkresursu vadība uzņēmējdarbībā;2021;Jā;Nē;Jā;Nē;2;LV;TM;Personālvadība;Zemākā līmeņa vadītājs;Nodaļas vadītāja vietnieks;noraidīts;2024;"Tu piedalīsies personāla vadības stratēģijas, politikas, mērķu izstrādē un pilnveidē, kā arī nodrošināsi to ieviešanu iestādē; Tev būs jānodrošina personālvadības lietvedības procesi; Kompetences ietvaros tev būs jāsagatavo iekšējie normatīvie akti; Tu nodrošināsi Tiesu iestāžu darbinieku un administrācijas nodarbināto personāla vadības procesus; Piedalīsies Personālvadības informācijas sistēmu pilnveidē.";"Otrā līmeņa augstākā izglītība (vēlams tiesību zinātnēs vai personāla vadībā) un atbilstība; Valsts civildienesta likuma 7.panta prasībām; Vēlama 2 gadu profesionālā  darba pieredze personālvadības jomā valsts pārvaldē; Valsts valodas zināšanas augstākajā līmenī.";Court Administration
4;S;n/a;n/a;n/a;Maģistrs;Izglītības zinātņu vadība;Maģistrs ;Visaptverošas kvalitātes vadības;n/a;n/a;2002;Jā;Jā;Jā;Jā;22;LV;TM;Personālvadība;Zemākā līmeņa vadītājs;Nodaļas vadītāja vietnieks;noraidīts;2024;"Tu piedalīsies personāla vadības stratēģijas, politikas, mērķu izstrādē un pilnveidē, kā arī nodrošināsi to ieviešanu iestādē; Tev būs jānodrošina personālvadības lietvedības procesi; Kompetences ietvaros tev būs jāsagatavo iekšējie normatīvie akti; Tu nodrošināsi Tiesu iestāžu darbinieku un administrācijas nodarbināto personāla vadības procesus; Piedalīsies Personālvadības informācijas sistēmu pilnveidē.";"Otrā līmeņa augstākā izglītība (vēlams tiesību zinātnēs vai personāla vadībā) un atbilstība; Valsts civildienesta likuma 7.panta prasībām; Vēlama 2 gadu profesionālā  darba pieredze personālvadības jomā valsts pārvaldē; Valsts valodas zināšanas augstākajā līmenī.";Court Administration
5;S;n/a;n/a;n/a;Bakalaurs;Tiesību zinātnēs;Maģistrs;Tiesību zinātnēs;n/a;n/a;2017;Jā;Nē;Nē;Nē;4;LV;TM;Personālvadība;Zemākā līmeņa vadītājs;Nodaļas vadītāja vietnieks;izvēlēts;2024;"Tu piedalīsies personāla vadības stratēģijas, politikas, mērķu izstrādē un pilnveidē, kā arī nodrošināsi to ieviešanu iestādē; Tev būs jānodrošina personālvadības lietvedības procesi; Kompetences ietvaros tev būs jāsagatavo iekšējie normatīvie akti; Tu nodrošināsi Tiesu iestāžu darbinieku un administrācijas nodarbināto personāla vadības procesus; Piedalīsies Personālvadības informācijas sistēmu pilnveidē.";"Otrā līmeņa augstākā izglītība (vēlams tiesību zinātnēs vai personāla vadībā) un atbilstība; Valsts civildienesta likuma 7.panta prasībām; Vēlama 2 gadu profesionālā  darba pieredze personālvadības jomā valsts pārvaldē; Valsts valodas zināšanas augstākajā līmenī.";Court Administration
6;S;1984;n/a;n/a;Bakalaurs;Uzņēmējdarbības vadība ;n/a;n/a;n/a;n/a;2007;Nē;Jā;Jā;Nē;3;LV;TM;Personālvadība;Zemākā līmeņa vadītājs;Nodaļas vadītāja vietnieks;noraidīts;2024;"Tu piedalīsies personāla vadības stratēģijas, politikas, mērķu izstrādē un pilnveidē, kā arī nodrošināsi to ieviešanu iestādē; Tev būs jānodrošina personālvadības lietvedības procesi; Kompetences ietvaros tev būs jāsagatavo iekšējie normatīvie akti; Tu nodrošināsi Tiesu iestāžu darbinieku un administrācijas nodarbināto personāla vadības procesus; Piedalīsies Personālvadības informācijas sistēmu pilnveidē.";"Otrā līmeņa augstākā izglītība (vēlams tiesību zinātnēs vai personāla vadībā) un atbilstība; Valsts civildienesta likuma 7.panta prasībām; Vēlama 2 gadu profesionālā  darba pieredze personālvadības jomā valsts pārvaldē; Valsts valodas zināšanas augstākajā līmenī.";Court Administration
7;S;n/a;n/a;n/a;Bakalaurs;Biroja vadītāja – referenta kvalifikācija ;n/a;n/a;n/a;n/a;2006;Jā;Jā;Jā;Nē;15;LV;TM;Personālvadība;Zemākā līmeņa vadītājs;Nodaļas vadītāja vietnieks;noraidīts;2024;"Tu piedalīsies personāla vadības stratēģijas, politikas, mērķu izstrādē un pilnveidē, kā arī nodrošināsi to ieviešanu iestādē; Tev būs jānodrošina personālvadības lietvedības procesi; Kompetences ietvaros tev būs jāsagatavo iekšējie normatīvie akti; Tu nodrošināsi Tiesu iestāžu darbinieku un administrācijas nodarbināto personāla vadības procesus; Piedalīsies Personālvadības informācijas sistēmu pilnveidē.";"Otrā līmeņa augstākā izglītība (vēlams tiesību zinātnēs vai personāla vadībā) un atbilstība; Valsts civildienesta likuma 7.panta prasībām; Vēlama 2 gadu profesionālā  darba pieredze personālvadības jomā valsts pārvaldē; Valsts valodas zināšanas augstākajā līmenī.";Court Administration
8;V;n/a;n/a;n/a;Maģistrs;Tiesību zinātnēs;Maģistrs (profesionālais grāds);Uzņēmējarbības vadība;n/a;n/a;2003;Jā;Nē;Jā;Nē;0;LV;TM;Personālvadība;Zemākā līmeņa vadītājs;Nodaļas vadītāja vietnieks;noraidīts;2024;"Tu piedalīsies personāla vadības stratēģijas, politikas, mērķu izstrādē un pilnveidē, kā arī nodrošināsi to ieviešanu iestādē; Tev būs jānodrošina personālvadības lietvedības procesi; Kompetences ietvaros tev būs jāsagatavo iekšējie normatīvie akti; Tu nodrošināsi Tiesu iestāžu darbinieku un administrācijas nodarbināto personāla vadības procesus; Piedalīsies Personālvadības informācijas sistēmu pilnveidē.";"Otrā līmeņa augstākā izglītība (vēlams tiesību zinātnēs vai personāla vadībā) un atbilstība; Valsts civildienesta likuma 7.panta prasībām; Vēlama 2 gadu profesionālā  darba pieredze personālvadības jomā valsts pārvaldē; Valsts valodas zināšanas augstākajā līmenī.";Court Administration
9;S;n/a;n/a;n/a;Bakalaurs;Inženieris – ekonomists;Maģistrs;Makroekonomika;n/a;n/a;1998;Nē;Jā;Jā;Nē;0;RU;TM;Personālvadība;Zemākā līmeņa vadītājs;Nodaļas vadītāja vietnieks;noraidīts;2024;"Tu piedalīsies personāla vadības stratēģijas, politikas, mērķu izstrādē un pilnveidē, kā arī nodrošināsi to ieviešanu iestādē; Tev būs jānodrošina personālvadības lietvedības procesi; Kompetences ietvaros tev būs jāsagatavo iekšējie normatīvie akti; Tu nodrošināsi Tiesu iestāžu darbinieku un administrācijas nodarbināto personāla vadības procesus; Piedalīsies Personālvadības informācijas sistēmu pilnveidē.";"Otrā līmeņa augstākā izglītība (vēlams tiesību zinātnēs vai personāla vadībā) un atbilstība; Valsts civildienesta likuma 7.panta prasībām; Vēlama 2 gadu profesionālā  darba pieredze personālvadības jomā valsts pārvaldē; Valsts valodas zināšanas augstākajā līmenī.";Court Administration
10;S;n/a;n/a;n/a;Maģistrs;Ekonomists;n/a;n/a;n/a;n/a;2015;Nē;Nē;Jā;Jā;0;LV;TM;Personālvadība;Zemākā līmeņa vadītājs;Nodaļas vadītāja vietnieks;noraidīts;2024;"Tu piedalīsies personāla vadības stratēģijas, politikas, mērķu izstrādē un pilnveidē, kā arī nodrošināsi to ieviešanu iestādē; Tev būs jānodrošina personālvadības lietvedības procesi; Kompetences ietvaros tev būs jāsagatavo iekšējie normatīvie akti; Tu nodrošināsi Tiesu iestāžu darbinieku un administrācijas nodarbināto personāla vadības procesus; Piedalīsies Personālvadības informācijas sistēmu pilnveidē.";"Otrā līmeņa augstākā izglītība (vēlams tiesību zinātnēs vai personāla vadībā) un atbilstība; Valsts civildienesta likuma 7.panta prasībām; Vēlama 2 gadu profesionālā  darba pieredze personālvadības jomā valsts pārvaldē; Valsts valodas zināšanas augstākajā līmenī.";Court Administration
11;S;n/a;n/a;n/a;Bakalaurs;Tiesību zinātnēs;n/a;n/a;n/a;n/a;2003;Jā;Jā;Jā;Nē;0;RU;TM;Personālvadība;Zemākā līmeņa vadītājs;Nodaļas vadītāja vietnieks;noraidīts;2024;"Tu piedalīsies personāla vadības stratēģijas, politikas, mērķu izstrādē un pilnveidē, kā arī nodrošināsi to ieviešanu iestādē; Tev būs jānodrošina personālvadības lietvedības procesi; Kompetences ietvaros tev būs jāsagatavo iekšējie normatīvie akti; Tu nodrošināsi Tiesu iestāžu darbinieku un administrācijas nodarbināto personāla vadības procesus; Piedalīsies Personālvadības informācijas sistēmu pilnveidē.";"Otrā līmeņa augstākā izglītība (vēlams tiesību zinātnēs vai personāla vadībā) un atbilstība; Valsts civildienesta likuma 7.panta prasībām; Vēlama 2 gadu profesionālā  darba pieredze personālvadības jomā valsts pārvaldē; Valsts valodas zināšanas augstākajā līmenī.";Court Administration
12;S;n/a;n/a;n/a;Bakalaurs;Psiholoģijā;Maģistrs;Psiholoģijā;n/a;n/a;2007;Nē;Jā;Jā;Nē;0;LV;TM;Personālvadība;Zemākā līmeņa vadītājs;Nodaļas vadītāja vietnieks;noraidīts;2024;"Tu piedalīsies personāla vadības stratēģijas, politikas, mērķu izstrādē un pilnveidē, kā arī nodrošināsi to ieviešanu iestādē; Tev būs jānodrošina personālvadības lietvedības procesi; Kompetences ietvaros tev būs jāsagatavo iekšējie normatīvie akti; Tu nodrošināsi Tiesu iestāžu darbinieku un administrācijas nodarbināto personāla vadības procesus; Piedalīsies Personālvadības informācijas sistēmu pilnveidē.";"Otrā līmeņa augstākā izglītība (vēlams tiesību zinātnēs vai personāla vadībā) un atbilstība; Valsts civildienesta likuma 7.panta prasībām; Vēlama 2 gadu profesionālā  darba pieredze personālvadības jomā valsts pārvaldē; Valsts valodas zināšanas augstākajā līmenī.";Court Administration
13;S;n/a;n/a;n/a;Bakalaurs;Tiesību zinātnēs;Maģistrs;Personāla vadībā;n/a;n/a;2011;Jā;Nē;Jā;Jā;8;LV;TM;Personālvadība;Zemākā līmeņa vadītājs;Nodaļas vadītāja vietnieks;noraidīts;2024;"Tu piedalīsies personāla vadības stratēģijas, politikas, mērķu izstrādē un pilnveidē, kā arī nodrošināsi to ieviešanu iestādē; Tev būs jānodrošina personālvadības lietvedības procesi; Kompetences ietvaros tev būs jāsagatavo iekšējie normatīvie akti; Tu nodrošināsi Tiesu iestāžu darbinieku un administrācijas nodarbināto personāla vadības procesus; Piedalīsies Personālvadības informācijas sistēmu pilnveidē.";"Otrā līmeņa augstākā izglītība (vēlams tiesību zinātnēs vai personāla vadībā) un atbilstība; Valsts civildienesta likuma 7.panta prasībām; Vēlama 2 gadu profesionālā  darba pieredze personālvadības jomā valsts pārvaldē; Valsts valodas zināšanas augstākajā līmenī.";Court Administration
